username,review_text,rating,at,appversion,sentiment,label_source,review_length
Eman Soleman,Nyaman,5,2024-01-21 04:19:12,4.81.1,positive,rating_rule,6
Additya Nayottama,Ini gimana sih gw langganan 1 bulan gk dikasih promo pindah ke app sebelah aja mending,1,2024-01-19 11:55:46,4.81.1,negative,rating_rule,86
Muhammad Ridwan,Gojek melatih saya untuk sabar dikasih driver yang jauh jauh terima kasih yah gojek,1,2024-01-19 11:50:03,4.81.1,negative,rating_rule,83
Aulia Rahmawati,Tlg kategori produk dihilangkan saja karena tidak sesuai dengan judulnya masih banyak yang ga sesuai,3,2024-01-19 11:25:04,4.81.1,neutral,rating_rule,100
Abdul Munib,Yg ksekian lg naik gojek,5,2024-01-19 11:24:52,4.81.1,positive,rating_rule,24
Tommy MP,Saya ganti bintang nya kalo udah normal baru ditambah lagi untuk Gopaylater nya di awal normal dan baik baik saja Sekarang pembayaran di aplikasi merchant tidak bisa dan ditambah lagi sekarang malah tidak bisa buat pembayaran pick up,1,2024-01-19 11:23:43,4.81.1,negative,rating_rule,233
abok jr,Gopay sekarang ga jelas banget sinyal lag sebentar di suruh nunggu terus ga lama transaksi berhasi tapi belum di terima pihak banknya dan saldo telah dipotong di gopay sumpah gk nyaman banget cuma masalah lag dikit,1,2024-01-19 11:22:17,4.81.1,negative,rating_rule,214
isma arfian,Puasa,5,2024-01-21 04:25:09,4.81.1,positive,rating_rule,5
Alfonsus Andreas Halim,gak bisa dibuka,1,2024-01-19 11:17:01,4.81.1,negative,rating_rule,15
Rachmat Ramdhani,Apps yang memudahkan banyak urusan saya di gambir ngasih driver di jayakarta di jam macet pula Buang2 waktu nunggu ya aja,3,2024-01-19 11:09:08,4.81.1,neutral,rating_rule,121
eka berata,Gocar kok kalah saing sama grab di indonesia,1,2024-01-19 11:04:35,4.81.1,negative,rating_rule,44
maria febri ayu,Kenapa setelah di update aplikasi gojeknya sering bug ya Saat order sering ngecrash lalu sering ke close sendiri dan orderan sering kena cancel juga jadi gampang miskomunikasi jadinya sama driver karena aplikasinya sering force close sendiri Mohon perbaikannya TT TT,1,2024-01-21 04:28:45,4.81.1,negative,rating_rule,266
Ilham Septian,Makin mahal ajah sekarang apa biaya layanan aplikasi lah sampe 10 ribu belum ongkirnya jg mahal Pelit ngasih promo Promo nya skrg kebanyakan suruh NGUTANG,1,2024-01-21 05:03:55,4.81.1,negative,rating_rule,154
umi kulsum,cepat direspon kalau pesan gojeg,5,2024-01-19 09:47:03,4.81.1,positive,rating_rule,32
Dharma Mita,Telat bayar paylater chat nya kayak takut kali ak lari blum lama telat sudah telepon ke kondar giliran bayar limit gak bisa dipake kecewa berat sama app ini,1,2024-01-21 05:58:49,4.81.1,negative,rating_rule,156
YUSUP NUR_PERMADI,Okay,5,2024-01-21 06:00:53,4.81.1,positive,rating_rule,4
Daniel Collection,Aplikasi yg wajib kalian miliki,5,2024-01-19 08:13:32,4.81.1,positive,rating_rule,31
Rezki nur Wicaksana,Aplikasi tidak bisa di buka setiap masuk ke aplikasi pasti keluar lagi Padahal sebelum saya update lacar ajatolong aplikasi nya diperbaiki,1,2024-01-19 08:05:38,4.81.1,negative,rating_rule,138
Bella Ristianto,Membantu keperluan sehari hari,5,2024-01-21 09:03:48,4.81.1,positive,rating_rule,30
Solicha Putra,Orangx ramah  tepat waktu,5,2024-01-21 09:07:36,4.81.1,positive,rating_rule,25
Andreas Gunawan,Tolong d perbaikin kembali kepada semua driver gocar mau goride d wilayah parung panjang bogor kenapa y setiap saya pesen k tujuan perumahan Sekar Tanjung banyak yang d cancel terus pa harus driver milih milih antara jarak Deket aj baru d bawah y pihak manajemen gojek Indonesia tolong d pm PM aj klo ada driver pilih pilih orderan sama cs penumpang d pm kshan lah penumpang bayar bukan ngutang Ama Lo gojek d training malah g bener malahan d wilayah parung panjang bogor tanks,1,2024-01-19 07:33:44,4.81.1,negative,rating_rule,477
Mustakim,Ngk jelas saya pakai gopay later belum jatuh tempo saya bayar malah di blokir gopay later nya,1,2024-01-19 07:29:39,4.81.1,negative,rating_rule,93
Jasmin Bunga,Habis update malah gk bisa dibuka saldo masih banyak gimana sihh makin gk jelas aja ni aplikasi,1,2024-01-19 07:28:50,4.81.1,negative,rating_rule,95
SAIFUL ANAM,puas banget perjalanan lebih mudah,5,2024-01-21 09:09:33,4.81.1,positive,rating_rule,34
Anggi Arisandi,Makin Ngadi nih apk  Mau kirim duit ke bank dari gopay aja gagal mulu Gila kali yah Apk lemot begini Sinyal gua bagus padahal streaming YouTube lancar jaya Kenapa buka gojek malah lemot,1,2024-01-21 09:11:36,4.81.1,negative,rating_rule,185
Joyah Lasak,Mantap gak ribet kayak aplikasi lain,5,2024-01-19 07:28:38,4.81.1,positive,rating_rule,36
agus sumarjanto,Opsional keren bro,5,2024-01-21 09:32:25,4.81.1,positive,rating_rule,18
Bing Beng,Tolong di percepat map data drivernya dan lokasi driver saat di jemput Dan untuk dalam komunikasinya servernya di stabilkan agar mempermudah dalam pesanannya,1,2024-01-19 07:26:47,4.81.1,negative,rating_rule,157
Nuraeda Sinjai,Ngga bisa tf njirr padahal udah prem,2,2024-01-21 09:54:03,4.81.1,negative,rating_rule,36
Haikal Saputra,Cari driver mobil lama bangett,3,2024-01-19 07:15:06,4.81.1,neutral,rating_rule,30
Ema Rismawati,Kalo untuk gojek sama food ok tp klo untuk gocar udh berapa x order susah bgt gk ada driver yg terima  lebih dr stngh jam gk ada yg accept jadinya beralih ke yg lain tolong dong diperbaiki,3,2024-01-21 09:58:51,4.81.1,neutral,rating_rule,188
Anoy ying,Selalu mantab,5,2024-01-19 07:01:10,4.81.1,positive,rating_rule,13
winda chrisnawati,Gimana mau pesan kalau gak muncul menunya dan ini selalu begini,2,2024-01-21 08:24:06,4.81.1,negative,rating_rule,63
Deni Kartubi,Lebih sangat membantu dan mengejar waktu,5,2024-01-21 08:08:53,4.81.1,positive,rating_rule,40
Anisa Oka,Hari ini kirim dokumen ke customer lewat gosend niatnya biar cepet dari BSD ke Jakarta  tapi udah 3 jam driver posisinya gak gerak di chat ceklis satu dicall nggak bisa udah komplain tp nunggu 3 hari kerja ya gimana gitu loh,1,2024-01-19 08:17:22,4.81.1,negative,rating_rule,224
Benny Tinambunan,Ok bgt,5,2024-01-21 07:34:04,4.81.1,positive,rating_rule,6
ary fibrian,Lumayan membantu klo hari minggu lancar,5,2024-01-21 06:10:29,4.81.1,positive,rating_rule,39
CCTV Priyana,Bingung sama gojek ini aplikasi abal tanpa sebab gopaylater saya kok diblok,1,2024-01-21 06:29:51,4.81.1,negative,rating_rule,75
Yusnia Salsa,sejauh ini bagus2 aja semoga kedepannya juga bagus dan tidak mengecewakan,5,2024-01-21 06:51:55,4.81.1,positive,rating_rule,73
Dimas Andhika,lebih ditingkatkan lagi pada pembayaran melalui gopay di otomatiskan gopay ya gopay tunai ya tunai,3,2024-01-21 06:57:26,4.81.1,neutral,rating_rule,98
Suryani,Aplikasi ga bisa dibukagmn cara bayar tagihan nya inibatas waktu pembayaran sudah lewat karena aplikasi gojek ga bisa dibukatolong kirim tagihan gopay latter saya lewat email jangan nomer aduan terus jawaban nya,1,2024-01-19 09:30:53,4.81.1,negative,rating_rule,211
Zahrah Nur,Pesanan sengaja dilamalamain,1,2024-01-21 07:09:10,4.81.1,negative,rating_rule,28
sri indrayani25,Sangat membantu dan memberikan pelayanan yang terbaik,5,2024-01-19 08:19:56,4.81.1,positive,rating_rule,53
odo ronodo,Keliatannya gojek sdh tdk orderan yg masuk ke akun saya Layak tak offline permanent,1,2024-01-19 09:11:53,4.81.1,negative,rating_rule,83
MAS ADITYA 86,Sopir go jek nya gk baik,5,2024-01-19 08:57:25,4.81.1,positive,rating_rule,24
TTK Rika Khoiriya Rahma,Lebih bagus yang dulu padahal sekarang kalau pesen gofood bisa sampe 1 jaman lebih,1,2024-01-21 07:52:37,4.81.1,negative,rating_rule,82
Moh Ema,Gk bisa dibuka sampah,5,2024-01-19 08:52:01,4.81.1,positive,rating_rule,21
My Dentist Gading,Mantap belum pernah ada masalah selama pakai layanan ini Semoga memang tidak ada sih,5,2024-01-19 08:42:54,4.81.1,positive,rating_rule,84
SELA GABRIELA,Layanan customer service sulit dan tidak ada respon,1,2024-01-21 04:14:14,4.81.1,negative,rating_rule,51
Suhandi Andi,Semakin kesini semakin tidak jelasini bukan memperbaiki sistemini marusak sistem dulu gk pernah ada kendala sistemgojek mulai rusak dari tahun 2018sampai sekarang tambah ancurudah pada gk jelas gojek sekarang,5,2024-01-19 11:58:00,4.81.1,positive,rating_rule,208
nawawi baktiya,Jangan pernah pakai aplikasi ini unt jumlah uang yang banyak Akun saya dibajak orang karena sistem keamanannya yang lemah Cs nya langsung konfirmasi saat ada orang lain yang minta untuk pergantian nomor uangnya sih gak hilang masih ada disaldo Gojec dg kondisi terblokir Kita coba kirim laporan melalui emai dan pusat bantuan renspon nya cepat langsung di telpon tapi gak pernah ada solusi Benar2 tidak profesional Kita telpon Cs habisin uang ratusan ribu tp cuma konfirmasi aja,1,2024-01-19 12:03:31,4.81.1,negative,rating_rule,478
Mei lia,aplikasi sangat bagus dan membantusukses untuk gojek,5,2024-01-20 22:55:32,4.81.1,positive,rating_rule,52
Irham Dj,Baik mudah dan simple enak bget tingal pesan aja mau mtr mbil atau mau mkanan apa ngrim brang pket jdi mudah,5,2024-01-20 23:01:09,4.81.1,positive,rating_rule,108
Ichsan J Cole,Makin kesini makin buruk aje jek,1,2024-01-19 15:20:48,4.81.1,negative,rating_rule,32
Baliya Afzam,Poor,3,2024-01-19 15:17:13,4.81.1,neutral,rating_rule,4
Akang Berod,Bangga dengan prodak dalam negri,5,2024-01-19 15:03:30,4.81.1,positive,rating_rule,32
asep ridwan,Nah gtu dong bisa di pake paylater nyatpi harus k Tokopedia dlu baru bisaduh,3,2024-01-19 14:44:22,4.81.1,neutral,rating_rule,76
Gabe Boy,driver  ya bagus dan sopan good job,5,2024-01-19 14:38:54,4.81.1,positive,rating_rule,35
Noviana Anita Kallu,Gojeknya sangat bagus di gunakan Sangat membantu sekali,5,2024-01-19 14:29:29,4.81.1,positive,rating_rule,55
Sumar Woto,Sangat membantu akses kemana mana jadi mudah,5,2024-01-19 13:58:37,4.81.1,positive,rating_rule,44
zia lucuu,masa pacar saya gabisa pilih uk cup mixue gimana si tambahin pilihannya dong,1,2024-01-19 13:57:54,4.81.1,negative,rating_rule,76
Aditya Reinaldi,Pemakaian rutin ada tagihan paylater tepat waktu Tapi udah berapa bulan ini enggak bisa dipakai gopaylater,1,2024-01-21 00:22:20,4.81.1,negative,rating_rule,106
danil armansyah,Siip lahh,5,2024-01-21 00:51:49,4.81.1,positive,rating_rule,9
Fazri Syawab Zannata Adam,Terima kasih abang gojek semoga banyak orderan ya,4,2024-01-19 15:21:22,4.81.1,positive,rating_rule,49
Syamsul Ardi,Gak Jelas XP Gw ilang,2,2024-01-19 15:26:29,4.81.1,negative,rating_rule,21
Henni Sofiana76,Kemarin marin titik lokasinya tepateeeh sekarang sekarang bisa beda kata drivernya sudah di titik lokasi sedangkan dengan posisi saya jauhcoba diperbaiki lagi jadi ga bikin susah penumpangnya iya kalau ga buru buru pas harus ngejar waktu jadi telat karena kebanyakan ngasih tau titik lokasi yg tepatnya dimana,2,2024-01-19 15:30:54,4.81.1,negative,rating_rule,309
ary murwanto,God job,5,2024-01-19 16:40:45,4.81.1,positive,rating_rule,7
Adi Rahmat,Utk Gofood hrs lebih baik lagi,3,2024-01-19 16:36:27,4.81.1,neutral,rating_rule,30
Rany Faneza,Gojek ku gk bisa di pakeabis di hapus aplikasi ny download LG gk bisa kebuka,5,2024-01-20 20:14:25,4.81.1,positive,rating_rule,76
Lo Hwa po,Saya pelanggan lama dari bulan lalu paylater diblokir padahal selalu ontime bayar dan katanya ada aktivitas mencurigakan sistemnya error kagak si Tolong admin segera dipulihkanmakasih,5,2024-01-20 20:33:07,4.81.1,positive,rating_rule,183
Udin Kar,Udah instal ga bisa di gunakan,1,2024-01-20 21:08:20,4.81.1,negative,rating_rule,30
fdian .T,Tolong fitur mode gellap dong di upgrade,5,2024-01-19 15:35:00,4.81.1,positive,rating_rule,40
ikhsan daeng,Terus ber inovasi lagi yg lebih baik,5,2024-01-20 22:38:55,4.81.1,positive,rating_rule,36
Anjaya Anjaya,Semoga gojek semangkin jaya,5,2024-01-19 16:05:48,4.81.1,positive,rating_rule,27
diah ayuoktaviani,Semakin banyak promonyaa tiap hari,5,2024-01-19 15:57:31,4.81.1,positive,rating_rule,34
Rendy Ardyanto,Gojek mau bangkrut,1,2024-01-19 15:53:06,4.81.1,negative,rating_rule,18
Rifo,Sehabis update aplikasi jd lama banget buka2 menu di resto,1,2024-01-19 13:40:10,4.81.1,negative,rating_rule,58
aroby pujadi,aplikasi ini sangat membantu sekali,5,2024-01-19 12:16:22,4.81.1,positive,rating_rule,35
Ming Ming,Sekarang lebih parah tidak bisa menggunakan paylater untuk pembayaran qris di outlet2,2,2024-01-21 03:35:43,4.81.1,negative,rating_rule,85
Septiawan Maulana,Aplikasi gak menolong dan gak membantu untuk sekarang,1,2024-01-21 03:37:24,4.81.1,negative,rating_rule,53
Yusepin Tuwan,Sejauh ini pelayanannya lumayan bagus Kalau bisa lbh semakin ditingkatkan agar semakin baik di mata para konsumen,4,2024-01-21 03:50:04,4.81.1,positive,rating_rule,113
Amonraa 27,Susah digunakan udah sering eror ongkirnya mahal lg saatnya ganti grab,1,2024-01-21 03:21:15,4.81.1,negative,rating_rule,70
Yeni Maria,Saya pelanggan setia gojegko ada menu gopay pinjam dan gopay paylater tapi ga guna banget ga bisa di pakaibuat apalama2 dtggalin juga cari aplikasi Laen,1,2024-01-19 12:13:27,4.81.1,negative,rating_rule,152
Fatah Fikri,Kapan gopaylater saya diaktifkan lagi saya sudah bertransaksi terus pake gopay tp kog masih dibekukan saja,2,2024-01-21 03:52:03,4.81.1,negative,rating_rule,106
Umar Supriatna,Senang sekali,5,2024-01-21 03:55:49,4.81.1,positive,rating_rule,13
andy suwartono,Gojek sekarang banyak kendala gopaylater tdk bisa untuk pembayaran,5,2024-01-21 04:01:15,4.81.1,positive,rating_rule,66
Dwi Wiratno,Makin buruk aplikasi nya setelah migrasisaldo biasa ada  saldo gopay later ada pas coba dipakai tidak bisa selalu jaringan yang dibilang error makin parah layananya,1,2024-01-19 12:07:34,4.81.1,negative,rating_rule,164
Rusdi Nukman,Aplikasi nya bagus  wajib di coba cocok buat kaum mager cuman mesen bayar terus tinggal ambil dah pesanan nya sekian terima gaji,4,2024-01-19 12:38:16,4.81.1,positive,rating_rule,128
AkhdanDeshwan,Mantap menn lancar tanpa ada hambatan,5,2024-01-19 13:37:09,4.81.1,positive,rating_rule,37
Desi Resnidar,Good goodgood,5,2024-01-21 02:09:27,4.81.1,positive,rating_rule,13
Okta Vianus,nyaman,5,2024-01-21 01:32:50,4.81.1,positive,rating_rule,6
KIEZAN OC,Trimakasih pelayanan nya baik,5,2024-01-21 01:36:27,4.81.1,positive,rating_rule,29
Siti Nurlela,Dr RS mau pulang k rmh krna bawa anak kecil n hujan jg akhir y pesan gocar Stlh sekian lama menunggu dpt lah driver y 6 menit k titik penjemputan Udh ditunggu lama kok mkin jauh malah 8 menit Dah gitu posisi driver gak berubah D chat gak d bls akhirnya ku batalkan pesanan Saran aja sih klo emang driver gak mau nerima orderan jgn diaktifin dong aplikasi y buang2 wktu udh nunggu lama Kondisi bawa anak yg lg skt hujan jg,3,2024-01-19 13:11:04,4.81.1,neutral,rating_rule,421
Oel Nejhi,Lemot saiki,4,2024-01-19 13:08:46,4.81.1,positive,rating_rule,11
Rustam Gozali,Sayang nya Semakin kesini semakin mahal ongkosnya,5,2024-01-21 01:47:43,4.81.1,positive,rating_rule,49
Asep Reggido,bintang yg bicara,5,2024-01-19 13:06:28,4.81.1,positive,rating_rule,17
Rina Tanjung,Kok loding trus tiap bula aplikasi nyaaaaa,3,2024-01-19 13:02:09,4.81.1,neutral,rating_rule,42
Topik Yusuf,penjemputan tepatarmada bagus wangi,5,2024-01-21 03:19:12,4.81.1,positive,rating_rule,35
arif 2810,saat mencari driver lamaa hujan dikit ga ada yang mau ambil lawak lawakk,2,2024-01-19 12:56:34,4.81.1,negative,rating_rule,72
Aries Yudha,Pertama kali pakai goCar ketik alamat sudah sesuai tiba tiba lihat alamat salah mau diedit bisa katanya setelah ketemu driver begitu ketemu edit alamat lgs naik3 kali lipat Dibatalin ga bisa driver nawarin nego Pantesanharga saham lu ancur Licik banget caranya Kapok deh  kapokkk gua dikadalin,1,2024-01-21 02:22:19,4.81.1,negative,rating_rule,293
Adres Veronika Snae,Terbaik terima kasih sdh berkontribusi utk mempermudah saya dalam mengakses semua kebutuhan saya,5,2024-01-21 02:32:26,4.81.1,positive,rating_rule,96
ahui ahui,Setelah update 2 x terakhir aplikasi menjadi sangat berat dan susah dibuka saat jaringan agak lambat beda dengan sebelumnya yg lebih ringan gampang dibuka,3,2024-01-21 02:43:04,4.81.1,neutral,rating_rule,154
Turus Ady,Good aplikasi,5,2024-01-11 11:31:17,4.81.1,positive,rating_rule,13
Kasran Sarkawi,Makin kesini aplikasi GoJek makin tidak jelas begitu banyak driver disekitar Tapi yg dpilih driver dengan jarak yg begitu jauh tolong diperhatikan dan diperbaiki Apakah GoJek sengaja membuat customer menunggu begitu lama,1,2024-01-20 05:47:06,4.81.1,negative,rating_rule,220
YDZ Channel,Aplikasi udah mulai ga jelas belanja gofood jadi makin mahal udah gitu gopaylater tiba di blokir padahal saya ga pernah telat bayar,1,2024-01-19 00:16:58,4.81.1,negative,rating_rule,131
Propes Marilyn,Drivernya suka minta customer cancel alasannya kejauhan Kemudian kalo dapat order driver lama bergerak kemungkinan ketiduran chat call selow respon,3,2024-01-16 12:58:07,4.81.1,neutral,rating_rule,147
Ardiyansah,Lama banget lokasi cuma bedah 1 gang nunggunya 1 jam Mana telat lagi,1,2024-01-16 12:50:10,4.81.1,negative,rating_rule,68
Gilang Dong !!!,Kerja bagus,5,2024-01-16 12:49:32,4.81.1,positive,rating_rule,11
Isaura Stuff,Cool Yee semakin diupdate semakin lemot  pesanan terdekat menunggu sampe setengah jam,5,2024-01-16 12:43:45,4.81.1,positive,rating_rule,85
boediyarti arti,Gofood naik harga makanannya naikmending beli langsung,1,2024-01-16 12:39:10,4.81.1,negative,rating_rule,54
Alfarizi Al-hakim,Pokok rekom karena memudahkan segalanya,5,2024-01-16 12:33:20,4.81.1,positive,rating_rule,39
Stanley Suharsono,Recommended aplikasi Gojek ditambahkan konten bonusnya terimakasih sukses selalu dan barokah,5,2024-01-16 12:28:36,4.81.1,positive,rating_rule,92
Haerudin furkon,Aplikasi sangat berguna ketika melakukan perjalanan,5,2024-01-16 12:23:19,4.81.1,positive,rating_rule,51
Dicky Rendra,Nice application for pick up passengers,5,2024-01-16 12:14:52,4.81.1,positive,rating_rule,39
Siti Solekhah,Penjemputan cepat,5,2024-01-16 12:12:18,4.81.1,positive,rating_rule,17
Dewi Monica,Dari bintang lima kasih bintang 1 lah yaa  gk pernah telat bayar gopaylater ehh malah di blokir,1,2024-01-16 12:01:53,4.81.1,negative,rating_rule,95
Time Channel,NGAPAIN PAKAI LEVEL SEGALA TERUS LEVEL ANGGOTA DI SURUH NGAPLO AJ,1,2024-01-16 11:53:08,4.81.1,negative,rating_rule,65
heru Ade,Aplikasi mantap   semoga berkah,5,2024-01-16 11:49:20,4.81.1,positive,rating_rule,31
ascha hayon,Saya setiap ingin pergi selalu saja drivernya berhenti tidak sesuai dengan mapjelas jelas titik nya masih jauh saya jadi nya jalan jauhtolong di perbaiki lagi,1,2024-01-16 12:56:56,4.81.1,negative,rating_rule,158
Mohamad Nurul H,Kok jadi bloon aplikasinya masa gabisa upload invoice dari gallery jadi nyusahin drivernya kasian woy,2,2024-01-16 13:02:23,4.81.1,negative,rating_rule,101
Aris Nursaid,Siip,5,2024-01-16 15:05:06,4.81.1,positive,rating_rule,4
RAHMAT HIDAYAT,aplikasi kocak aku ketik pencarian stasiun Arjawinangun malah arahnya ke eks stasiun kaliwedi dikira mau ujinyali apa ya ke bangunan tua,1,2024-01-16 13:10:37,4.81.1,negative,rating_rule,136
Taufiq Nurahman,bgusss sering dpet promoo tingkatkan terus,5,2024-01-13 06:23:50,4.81.1,positive,rating_rule,42
Siti Masitoh,sangat baik,5,2024-01-16 14:39:20,4.81.1,positive,rating_rule,11
Hastomo arbi,Kenapa gopaylater saya diblokir,5,2024-01-16 14:30:24,4.81.1,positive,rating_rule,31
nailul fauziah,bagus memudahkan sekali,5,2024-01-16 14:27:31,4.81.1,positive,rating_rule,23
I Nengah Arsana,Saya selaku draver senang pas dapat orderan dan banyak membantu perekonomian banyak orang tks aplikasi gojek and gopatner,5,2024-01-16 14:25:15,4.81.1,positive,rating_rule,121
Ilham Hidayat,apk sampahhhhhhhhh gara2 pesen gocar terus posisi gocarnya jauh mintak di cancel  okeh saya cancel ehhh ternyata saldonya juga di ambil sama pihak gojeknya,1,2024-01-16 14:23:15,4.81.1,negative,rating_rule,155
Eka Adnyani,Aplikasi sering tidak respon kadang driver chat dan telpon tdk tersambung,3,2024-01-13 06:45:39,4.81.1,neutral,rating_rule,73
Lissa Yoesfianda,Selalu cepat n memudahkan,5,2024-01-16 14:11:04,4.81.1,positive,rating_rule,25
Ms Kurniasari,Setelah diperbaharui maps malah gak akurat,2,2024-01-16 13:52:44,4.81.1,negative,rating_rule,42
Dedi Arisandi,Voucher Diskon nya mana,5,2024-01-16 13:44:56,4.81.1,positive,rating_rule,23
Ahmad Riskiharahap,Gojek bagus kalo bisa ongkir gofod di murahkan banyakin promo selebih nya bagus,5,2024-01-16 13:36:05,4.81.1,positive,rating_rule,79
Johanna Patricia Natalia Sianturi,Cepat dan tepat,5,2024-01-16 11:43:59,4.81.1,positive,rating_rule,15
Umi Kalsum,Aplikasinya oke banget semua urusan jd lancar,5,2024-01-16 11:40:25,4.81.1,positive,rating_rule,45
wayan suma,Tingkatkan pelayanan dan mudahkan dalam bertransaksi,5,2024-01-16 11:40:18,4.81.1,positive,rating_rule,52
Hidayah Prayoga,Semua layanan menurut saya bagus hanya saja kenapa dari beberapa bulan lalu saat mengajukan gopay pinjam tidak ada informasi yg masuk apakah saya bisa mengajukan pinjaman apa tidak Selalu saja suruh menunggu padahal sudah lama sekali saya mengajukan nya payah,2,2024-01-13 10:40:42,4.81.1,negative,rating_rule,259
Afrizal Zal,Ok bagus sekali aplikasinya,5,2024-01-13 10:54:20,4.81.1,positive,rating_rule,27
Josephine Krisna,1 Orang yang sign up harus dan wajib verifikasi data dengan KTP Paspor Kartu identitas anak Lalu jangan sampai username seenaknya digonta ganti karena rawan dimanfaatkan order fiktif makanan atau kirim go send yang aneh2 2 Kenapa kalau kita yang cancel order berimbas ke ojolnya juga Padahal customer yg minta cancel Misalnya tiba2 dijemput keluarga Itu kudu dievaluasi banget 3 Sering loading lama untk dapetin driver gocar 4 Sering dapet driver yg jauh Kasiannn buang bensin,5,2024-01-16 09:36:25,4.81.1,positive,rating_rule,476
Albertus handoko s,Diandalkan,5,2024-01-16 09:35:28,4.81.1,positive,rating_rule,10
Irvan Suhendra,prasaan gofood goride lebih mahal dari grab,1,2024-01-16 09:30:14,4.81.1,negative,rating_rule,43
Firman Lala,Aplikasi yang sangat berguna saya kalo mau makan tapi udah jam 1 malam terus saya pesen di gofood pokoknya de best,5,2024-01-16 09:29:32,4.81.1,positive,rating_rule,114
Roselina Tambunan,Driver dan Perlengkapan seperti Helm lebih baik dan Bersih,5,2024-01-16 09:25:18,4.81.1,positive,rating_rule,58
Manc BiGl,Dulu banyak banget transaksi di gopay pake payletter eh pas ganti hp dan nomer malah hilang paylatter nya Biarpun limitnya cuma 400rb tapi berguna juga sii,5,2024-01-16 09:15:51,4.81.1,positive,rating_rule,155
abdul aziz,untung ada gojek nggak macetbecek,5,2024-01-16 09:11:44,4.81.1,positive,rating_rule,33
Khaylilah Lilah,Padahal selalu bayar tagihan tepat waktu tiba tiba gak npernah telat selalu di lunasi di awal eh masa gonpaylater di blokir Sama gonpinjam ada ada aja,1,2024-01-16 09:09:15,4.81.1,negative,rating_rule,150
Ranti Mardiana,Pesanan gk bisa dibatalkan,3,2024-01-16 09:04:43,4.81.1,neutral,rating_rule,26
ahyuni awing,Diupdate malah jadi aplikasi sampah  heran harus nya klo update tambah bagus bukan tambah buruk,1,2024-01-16 09:00:22,4.81.1,negative,rating_rule,95
Albertus A W P,one stop service,5,2024-01-16 08:46:27,4.81.1,positive,rating_rule,16
Anik Mustaqim,gojek sangat membantu,5,2024-01-16 08:30:35,4.81.1,positive,rating_rule,21
Tina Syaf,Sekarang gojek payah masak gak ada angin gak ada badai gopaylatter di blokir Bayar gak pernah telat tiba tiba gak bisa dipake lg gopay nya Sumpah Demi apa coba aplikasi aneh,5,2024-01-16 08:29:34,4.81.1,positive,rating_rule,173
Edi Sisnanto,Gojek emang oke,5,2024-01-16 08:25:22,4.81.1,positive,rating_rule,15
Destra Maulana,Oke better,4,2024-01-16 09:56:20,4.81.1,positive,rating_rule,10
April Claudius,pokoe the best lah,5,2024-01-16 10:12:17,4.81.1,positive,rating_rule,18
kopi dan kopi dan,Aplikasi ini bagus,5,2024-01-16 10:28:16,4.81.1,positive,rating_rule,18
Muhamaad Iqbal,Enga rekomendasi banget gojek  Mesen foods yg expers 30 menit sampe nyari driver Bae 10 menit lebih  Kecewa lah,1,2024-01-16 11:05:19,4.81.1,negative,rating_rule,111
Randi Anto,Semua jadi mudah dengan gojek,5,2024-01-16 11:38:22,4.81.1,positive,rating_rule,29
Poniti Lampung,Di sarankan untuk harga jangan terlalu mahalAmat yah terimakasih,5,2024-01-16 11:34:36,4.81.1,positive,rating_rule,64
Yufo babollah,So fat soo good,5,2024-01-16 11:28:37,4.81.1,positive,rating_rule,15
gre,Pengalaman dgn gopay sgt buruk srg sekali error pdhl app sllu update Tiap transaksi dgn qris pasti di app tertulis tdk ada koneksi inet sampai 3x isi pin ttp sama Sdh kejadian tiba2 gopay terbayar pdhl transaksi trtls tdk bisa proses krn inet buruk jd hrs repot berurusan ke tenant utk pengembalian dana yg untungnya tdk besar tp bisa utk beli 1 porsi baru Kejadian mirip di hp ortu jg Ketika coba payment qris dgn aplikasi sllu lancar makanya jrg pakai app ini skrg hati2 yg pakai qris ini,1,2024-01-13 09:37:47,4.81.1,negative,rating_rule,490
Delly Thea,Lumayan,4,2024-01-16 11:13:53,4.81.1,positive,rating_rule,7
Tri Murni,Enak dan mantab terasa daging sapi murni,5,2024-01-16 11:13:13,4.81.1,positive,rating_rule,40
Kiky Amelia86,membuat segalanya menjadi mudah,5,2024-01-16 11:07:34,4.81.1,positive,rating_rule,31
Nabil auliya Auliya,Lebih mantap kalo banyak promo hehe,4,2024-01-13 10:11:53,4.81.1,positive,rating_rule,35
shasha Bf,JoSss,5,2024-01-13 09:53:44,4.81.1,positive,rating_rule,5
Iskandar Alim,Banyak membantu hidup dan hidup membantu,5,2024-01-16 10:59:30,4.81.1,positive,rating_rule,40
Anwar Mursadat,Sukses dan kaya selalu PT gojek indonesia karya anak bangsa,5,2024-01-16 10:58:33,4.81.1,positive,rating_rule,59
Nia kania Dewi,Ini bagaimana ya setelah di update kok tagihan saya sangat besar Tidak sesuai dengan nilai tagihan yang saya pakai Limit 1500000 tapi tagihan 2297755 sedangkan setiap bulan saya selalu bayar ini BAGAIMANA,1,2024-01-16 10:54:15,4.81.1,negative,rating_rule,204
Adi Wijaya,Cakep nih yg bikin apl nyasudah berhasil membuat driver stressbingungdan nahan lapar nunggu orderan,5,2024-01-16 10:48:33,4.81.1,positive,rating_rule,99
